Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
17214,"Starship Troopers","Robert A. Heinlein","Heinlein, Robert A.","",="0441783589",="9780441783588",5,"3.97","Ace Book","Mass Market Paperback","264",1987,1959,,2011/09/18,"","","read",,"",,,,,0,,,,,
96656,"Contact","Carl Sagan","Sagan, Carl","",="1857235800",="9781857235807",5,"4.05","Orbit","Paperback","431",1997,1985,,2011/09/18,"","","read",,"",,,,,0,,,,,
756978,"Cities in Flight (Cities in Flight, #1-4)","James Blish","Blish, James","",="1857988116",="9781857988116",0,"3.95","","Unknown Binding","620",1999,1970,,2011/09/18,"","","read",,"",,,,,0,,,,,
10084,"River of Blue Fire (Otherland, #2)","Tad Williams","Williams, Tad","",="0886778441",="9780886778446",0,"3.99","Daw Books","Mass Market Paperback","675",1999,1998,,2011/09/18,"","","read",,"",,,,,0,,,,,
1006561,"Absolution Gap (Revelation Space, #3)","Alastair Reynolds","Reynolds, Alastair","",="0575075570",="9780575075573",0,"3.98","Not Avail","Unknown Binding","",2004,2003,,2011/09/18,"","","read",,"",,,,,0,,,,,
1117943,"The Cassini Division (The Fall Revolution, #3)","Ken MacLeod","MacLeod, Ken","",="1857237307",="9781857237306",0,"3.91","Little Brown and Company","Paperback","",1999,1998,,2011/09/18,"","","read",,"",,,,,0,,,,,
14817,"A Scanner Darkly","Philip K. Dick","Dick, Philip K.","",="057507681X",="9780575076815",4,"4.03","Gollancz","Paperback","219",2006,1977,,2011/09/18,"","","read",,"",,,,,0,,,,,
3422104,"Recursion","Tony Ballantyne","Ballantyne, Tony","",="0330426990",="9780330426992",4,"3.30","Tor","Paperback","356",2005,2004,,2011/09/18,"","","read",,"",,,,,0,,,,,
1131195,"Changeling","Christopher Kubasik","Kubasik, Christopher","",="0451451635",="9780451451637",0,"3.42","Roc","Mass Market Paperback","288",1992,1992,,2011/09/18,"","","read",,"",,,,,0,,,,,
61928,"Freedom's Landing (Catteni, #1)","Anne McCaffrey","McCaffrey, Anne","",="0441003389",="9780441003389",0,"3.89","Ace","Paperback","336",1996,1995,,2011/09/18,"","","read",,"",,,,,0,,,,,
61931,"Pegasus in Space (The Talent, #3)","Anne McCaffrey","McCaffrey, Anne","",="0345434676",="9780345434678",4,"4.06","Del Rey Books","Paperback","448",2001,2000,,2011/09/18,"","","read",,"",,,,,0,,,,,
172742,"Slant (Queen of Angels, #4)","Greg Bear","Bear, Greg","",="0812524829",="9780812524826",0,"3.57","Tor Science Fiction","Paperback","512",1998,1997,,2011/09/18,"","","read",,"",,,,,0,,,,,
351452,"Never Trust an Elf (Shadowrun, #6)","Robert N. Charrette","Charrette, Robert N.","",="0451451783",="9780451451781",0,"3.57","Roc","Paperback","288",1992,1992,,2011/09/18,"","","read",,"",,,,,0,,,,,
3071927,"Night's Pawn (Shadowrun, #10)","Tom Dowd","Dowd, Tom","",="0451452380",="9780451452382",0,"3.42","Roc","Paperback","288",1993,1993,,2011/09/18,"","","read",,"",,,,,0,,,,,
445653,"Starfarers","Poul Anderson","Anderson, Poul","",="0812545990",="9780812545999",0,"3.55","Tor Science Fiction","Paperback","512",1999,1998,,2011/09/18,"","","read",,"",,,,,0,,,,,
123586,"Prey (Aliens Vs. Predator, # 1)","Steve Perry","Perry, Steve","Stephani Perry",="0553565559",="9780553565553",0,"3.91","Spectra Books","Paperback","272",1994,1994,,2011/09/18,"","","read",,"",,,,,0,,,,,
312091,"Dark Light (Engines Of Light, #2)","Ken MacLeod","MacLeod, Ken","Patrick Nielsen Hayden",="0765344963",="9780765344960",0,"3.62","Tor Books","Paperback","352",2003,2001,,2011/09/18,"","","read",,"",,,,,0,,,,,
453961,"Sailing Bright Eternity (Galactic Center, #6)","Gregory Benford","Benford, Gregory","",="0446611522",="9780446611527",0,"3.83","Aspect","Paperback","528",2005,1995,,2011/09/18,"","","read",,"",,,,,0,,,,,
1659751,"Deepdrive","Alexander Jablokov","Jablokov, Alexander","",="0380797151",="9780380797158",0,"3.06","Eos","Mass Market Paperback","320",1999,1998,,2011/09/18,"","","read",,"",,,,,0,,,,,
218453,"The Gripping Hand (Moties #2)","Larry Niven","Niven, Larry","Jerry Pournelle",="0671795740",="9780671795740",0,"3.80","Pocket Books","Mass Market Paperback","413",1994,1993,,2011/09/18,"","","read",,"",,,,,0,,,,,
904413,"Pegasus in Flight","Anne McCaffrey","McCaffrey, Anne","",="0345368975",="9780345368973",4,"4.07","Del Rey","Paperback","304",1991,1990,,2011/09/18,"","","read",,"",,,,,0,,,,,
904417,"To Ride Pegasus","Anne McCaffrey","McCaffrey, Anne","",="0345336038",="9780345336033",4,"3.96","Del Rey","Paperback","256",1986,1973,,2011/09/18,"","","read",,"",,,,,0,,,,,
28695,"City of Golden Shadow (Otherland, #1)","Tad Williams","Williams, Tad","",="0886777631",="9780886777630",0,"3.88","DAW Books","Mass Market Paperback","780",1998,1996,,2011/09/18,"","","read",,"",,,,,0,,,,,
1911350,"Footfall","Larry Niven","Niven, Larry","Jerry Pournelle",="1857230973",="9781857230970",0,"3.86","Sphere","Paperback","700",1986,1985,,2011/09/18,"","","read",,"",,,,,0,,,,,
